user_id,rec_i
1,"[856942, 940947, 8090541, 5582712, 10149640]"
3,"[998206, 910032, 854405, 1013928, 1119761]"
6,"[8203834, 863447, 1024306, 1108094, 1098844]"
7,"[1122358, 6602729, 12731436, 9296919, 1126899]"
8,"[5569471, 872137, 12302069, 981086, 7139529]"
9,"[862799, 896085, 6534030, 1056509, 1070820]"
13,"[1038985, 965772, 1042942, 882604, 1132771]"
14,"[1013928, 910673, 1025611, 1127758, 1009187]"
15,"[1070820, 1026118, 1082212, 907099, 845208]"
16,"[1029743, 1106523, 5569230, 916122, 844179]"
17,"[944486, 896085, 948670, 6533608, 963971]"
18,"[976199, 951412, 1108094, 1000237, 1101706]"
19,"[999104, 910673, 1043751, 1025611, 5582712]"
20,"[1075368, 8090536, 1126899, 1055425, 944836]"
22,"[1104349, 1082185, 1070820, 944836, 827656]"
23,"[1075368, 1005274, 934399, 1034176, 849202]"
24,"[1016800, 926905, 1037840, 1094308, 1124695]"
25,"[1097001, 906844, 913210, 1082212, 885863]"
26,"[1132771, 906838, 907631, 1071342, 1025611]"
27,"[1102416, 1098284, 1131438, 910473, 923670]"
28,"[1112238, 892531, 1035676, 6534030, 10344585]"
29,"[1083446, 1050851, 910473, 878715, 1065538]"
30,"[6534480, 910473, 12946027, 957736, 1051516]"
31,"[1062128, 1040807, 5570383, 982469, 1055504]"
32,"[8293447, 1105488, 944836, 1119405, 901062]"
33,"[1038663, 1025611, 986912, 1127758, 871756]"
34,"[993638, 909268, 919534, 859154, 986912]"
35,"[6534030, 1126899, 819978, 1115175, 940947]"
36,"[865705, 969568, 982790, 9242918, 954966]"
37,"[1097001, 1067695, 916990, 5574377, 1058404]"
39,"[1127716, 6395907, 1126899, 944836, 6602697]"
40,"[1055504, 1128240, 8273833, 995478, 5585510]"
41,"[909714, 865705, 913210, 1126899, 5585510]"
42,"[839656, 946839, 6602697, 1125278, 1070702]"
43,"[1042942, 946839, 952163, 1072523, 871756]"
46,"[7442008, 999104, 909714, 5570383, 1098844]"
47,"[6534077, 859427, 827656, 12262778, 8090537]"
48,"[5578547, 831628, 880150, 897954, 9835509]"
49,"[5569471, 1070820, 8090536, 1074333, 1027168]"
52,"[1085983, 972665, 880427, 865705, 995478]"
53,"[5569471, 6034857, 1038985, 999858, 839419]"
55,"[885290, 883932, 850102, 6463775, 1128240]"
56,"[6533608, 940947, 963835, 832678, 1101010]"
57,"[1027168, 1105917, 8090537, 986912, 1055425]"
58,"[5569374, 854754, 944836, 1062128, 1104343]"
59,"[957951, 1056509, 856942, 1002771, 12810391]"
60,"[919534, 5568447, 909714, 1040807, 7441210]"
63,"[925862, 834117, 1046545, 1029743, 1106523]"
64,"[1013928, 949023, 1093413, 982469, 1131344]"
65,"[986912, 1070820, 1058404, 1128016, 902172]"
67,"[971922, 1034176, 933835, 1128016, 1115175]"
68,"[1082990, 1068719, 934399, 8090509, 856252]"
69,"[1044188, 910673, 944137, 6602697, 933067]"
70,"[1130375, 1029743, 1106523, 5569230, 916122]"
71,"[1056509, 926905, 1016800, 1022428, 12302069]"
72,"[5585510, 865174, 1005274, 9296919, 8090509]"
73,"[1070820, 5568489, 5567702, 1062128, 1083446]"
74,"[5569374, 1135258, 944534, 1098248, 878996]"
75,"[1029743, 1106523, 5569230, 916122, 844179]"
76,"[854754, 909714, 951412, 901062, 831628]"
77,"[1126899, 1055425, 917033, 857503, 1106523]"
78,"[1082185, 835098, 952972, 8090440, 1042438]"
79,"[1070820, 1070845, 1072968, 856252, 883932]"
80,"[1055504, 910673, 993638, 1013928, 999779]"
81,"[1093413, 910673, 1132771, 1025611, 971922]"
82,"[849202, 1119761, 910473, 819308, 1000753]"
83,"[1059902, 1055425, 1127758, 1048257, 965842]"
84,"[5569374, 917033, 944139, 885290, 879504]"
85,"[1075368, 1083446, 8203834, 1067695, 986912]"
86,"[865026, 1137775, 823775, 854852, 1056509]"
87,"[1048257, 1080853, 5568447, 5592888, 1029743]"
88,"[1075368, 1082990, 8090521, 1137346, 893018]"
89,"[852856, 1029743, 1106523, 5569230, 916122]"
90,"[1070820, 1019643, 986912, 5592888, 1068719]"
91,"[5568249, 1067695, 6602729, 839656, 6602697]"
92,"[12946027, 871061, 1127758, 845208, 1104343]"
94,"[8090541, 8090532, 961979, 999250, 12262830]"
95,"[5568489, 976199, 983584, 1018740, 5568249]"
97,"[1075368, 926905, 1034176, 896862, 856942]"
98,"[6602697, 1128240, 919423, 1042544, 1013928]"
99,"[5590613, 916993, 948670, 6034857, 1074333]"
101,"[5569845, 1012587, 1106523, 897954, 8090521]"
103,"[890695, 1106523, 1122358, 983584, 1105488]"
104,"[1132771, 838186, 1098844, 907631, 882604]"
105,"[1043751, 935317, 854405, 965766, 1012587]"
106,"[1005274, 12171656, 1127179, 906844, 12731436]"
108,"[903800, 964521, 839656, 5567702, 8177622]"
109,"[12731436, 1046756, 835098, 944836, 880150]"
110,"[871756, 1127758, 12946027, 940947, 5585510]"
111,"[1072799, 909268, 1112238, 8090539, 854754]"
